Year,TotalTDFDistance,Stages,Start,End,Winner of stage,Yellow Jersey,Green jersey,Polka-dot jersey,White jersey,Leader
2017,3540,8.0,Dole,Station des Rousses,Lilian Calmejane  (Direct Energie),Chris Froome,Marcel Kittel,Lilian Calmejane,Simon Philip Yates,
2017,3540,9.0,Nantua,Chambéry,Rigoberto Uran  (Cannondale Drapac Professional Cycling Team),Chris Froome,Marcel Kittel,Warren Barguil,Simon Philip Yates,
2017,3540,10.0,Périgueux,Bergerac,Marcel Kittel  (Quick - Step Floors),Chris Froome,Marcel Kittel,Warren Barguil,Simon Philip Yates,
2017,3540,11.0,Eymet,Pau,Marcel Kittel  (Quick - Step Floors),Chris Froome,Marcel Kittel,Warren Barguil,Simon Philip Yates,
2017,3540,12.0,Pau,Peyragudes,Romain Bardet  (Ag2R La Mondiale),Fabio Aru,Marcel Kittel,Warren Barguil,Simon Philip Yates,
2017,3540,13.0,Saint-Girons,Foix,Warren Barguil  (Team Sunweb),Fabio Aru,Marcel Kittel,Warren Barguil,Simon Philip Yates,
2017,3540,14.0,Blagnac,Rodez,Michael Matthews  (Team Sunweb),Chris Froome,Marcel Kittel,Warren Barguil,Simon Philip Yates,
2017,3540,15.0,Laissac-Sévérac l'Église,Le Puy-en-Velay,Bauke Mollema  (Trek - Segafredo),Chris Froome,Marcel Kittel,Warren Barguil,Simon Philip Yates,
2017,3540,16.0,Le Puy-en-Velay,Romans-sur-Isère,Michael Matthews  (Team Sunweb),Chris Froome,Marcel Kittel,Warren Barguil,Simon Philip Yates,
2017,3540,17.0,La Mure,Serre-Chevalier,Primoz Roglic  (Team Lotto Nl - Jumbo),Chris Froome,Michael Matthews,Warren Barguil,Simon Philip Yates,
2017,3540,18.0,Briançon,Izoard,Warren Barguil  (Team Sunweb),Chris Froome,Michael Matthews,Warren Barguil,Simon Philip Yates,
2017,3540,19.0,Embrun,Salon-de-Provence,Edvald Boasson-Hagen  (Team Dimension Data),Chris Froome,Michael Matthews,Warren Barguil,Simon Philip Yates,
2017,3540,20.0,Marseille,Marseille,Maciej Bodnar  (Bora - Hansgrohe),Chris Froome,Michael Matthews,Warren Barguil,Simon Philip Yates,
2017,3540,21.0,Montgeron,Paris Champs-Élysées,Dylan Groenewegen  (Team Lotto Nl - Jumbo),Chris Froome,Michael Matthews,Warren Barguil,Simon Philip Yates,
2016,3525,1.0,Mont-Saint-Michel,Utah Beach Sainte-Marie-du-Mont,Mark Cavendish  (Team Dimension Data),Mark Cavendish,Marcel Kittel,Paul Voss,Edward Theuns,
2016,3525,2.0,Saint-Lô,Cherbourg-en-Cotentin,Peter Sagan  (Tinkoff),Peter Sagan,Mark Cavendish,Jasper Stuyven,Julian Alaphilippe,
2016,3525,3.0,Granville,Angers,Mark Cavendish  (Team Dimension Data),Peter Sagan,Mark Cavendish,Jasper Stuyven,Julian Alaphilippe,
2016,3525,4.0,Saumur,Limoges,Marcel Kittel  (Etixx-Quick Step),Peter Sagan,Mark Cavendish,Jasper Stuyven,Julian Alaphilippe,
2016,3525,5.0,Limoges,Le Lioran,Greg Van Avermaet  (Bmc Racing Team),Greg Van Avermaet,Peter Sagan,Thomas De Gendt,Julian Alaphilippe,
2016,3525,6.0,Arpajon-sur-Cère,Montauban,Mark Cavendish  (Team Dimension Data),Greg Van Avermaet,Mark Cavendish,Thomas De Gendt,Julian Alaphilippe,
2016,3525,7.0,L'Isle-Jourdain,Lac de Payolle,Stephen Cummings  (Team Dimension Data),Greg Van Avermaet,Mark Cavendish,Thomas De Gendt,Adam Yates,
2016,3525,8.0,Pau,Bagnères-de-Luchon,Chris Froome  (Team Sky),Chris Froome,Mark Cavendish,Rafal Majka,Adam Yates,
2016,3525,9.0,Vielha Val d'Aran,Andorre,Tom Dumoulin  (Team Giant-Alpecin),Chris Froome,Mark Cavendish,Thibaut Pinot,Adam Yates,
2016,3525,10.0,Escaldes-Engordany,Revel,Michael Matthews  (Orica-Bikeexchange),Chris Froome,Peter Sagan,Thibaut Pinot,Adam Yates,
2016,3525,11.0,Carcassonne,Montpellier,Peter Sagan  (Tinkoff),Chris Froome,Peter Sagan,Thibaut Pinot,Adam Yates,
2016,3525,12.0,Montpellier,Mont Ventoux,Thomas De Gendt  (Lotto Soudal),Chris Froome,Peter Sagan,Thomas De Gendt,Adam Yates,
2016,3525,13.0,Bourg-Saint-Andéol,La Caverne du Pont-d'Arc,Tom Dumoulin  (Team Giant-Alpecin),Chris Froome,Peter Sagan,Thomas De Gendt,Adam Yates,
2016,3525,14.0,Montélimar,Villars-les-Dombes Parc des Oiseaux,Mark Cavendish  (Team Dimension Data),Chris Froome,Peter Sagan,Thomas De Gendt,Adam Yates,
2016,3525,15.0,Bourg-en-Bresse,Culoz,Jarlinson Pantano Gomez  (Iam Cycling),Chris Froome,Peter Sagan,Rafal Majka,Adam Yates,
2016,3525,16.0,Moirans-en-Montagne,Berne,Peter Sagan  (Tinkoff),Chris Froome,Peter Sagan,Rafal Majka,Adam Yates,
2016,3525,17.0,Berne,Finhaut-Emosson,Ilnur Zakarin  (Team Katusha),Chris Froome,Peter Sagan,Rafal Majka,Adam Yates,
2016,3525,18.0,Sallanches,Megève,Chris Froome  (Team Sky),Chris Froome,Peter Sagan,Rafal Majka,Adam Yates,
2016,3525,19.0,Albertville,Saint-Gervais Mont-Blanc,Romain Bardet  (Ag2R La Mondiale),Chris Froome,Peter Sagan,Rafal Majka,Adam Yates,
2016,3525,20.0,Megève,Morzine,Ion Izagirre Insausti  (Movistar Team),Chris Froome,Peter Sagan,Rafal Majka,Adam Yates,
2016,3525,21.0,Chantilly,Paris Champs-Élysées,André Greipel  (Lotto Soudal),Chris Froome,Peter Sagan,Rafal Majka,Adam Yates,
2015,3354,1.0,Utrecht,Utrecht,Rohan Dennis  (Bmc Racing Team),Rohan Dennis,Tony Martin,Nan,Tom Dumoulin,
2015,3354,2.0,Utrecht,Zélande,André Greipel  (Lotto-Soudal),Fabian Cancellara,André Greipel,Nan,Tom Dumoulin,
2015,3354,3.0,Anvers,Huy,Joaquin Rodriguez Oliver  (Team Katusha),Chris Froome,André Greipel,Joaquin Rodriguez Oliver,Peter Sagan,
2015,3354,4.0,Seraing,Cambrai,Tony Martin  (Etixx-Quick Step),Tony Martin,André Greipel,Joaquin Rodriguez Oliver,Peter Sagan,
2015,3354,5.0,Arras Communauté Urbaine,Amiens,André Greipel  (Lotto-Soudal),Tony Martin,André Greipel,Joaquin Rodriguez Oliver,Peter Sagan,
2015,3354,6.0,Abbeville,Le Havre,Zdenek Stybar  (Etixx-Quick Step),Tony Martin,André Greipel,Daniel Teklehaimanot,Peter Sagan,
2015,3354,7.0,Livarot,Fougères,Mark Cavendish  (Etixx-Quick Step),Chris Froome,André Greipel,Daniel Teklehaimanot,Peter Sagan,
2015,3354,8.0,Rennes,Mûr-de-Bretagne Guerlédan,Alexis Vuillermoz  (Ag2R La Mondiale),Chris Froome,Peter Sagan,Daniel Teklehaimanot,Warren Barguil,
