Year,Rank,Rider,Rider No.,Team,Times,Gap,B,P,Distance (km),Number of stages,ResultType,TotalSeconds,GapSeconds
1910,34,LUCIEN ROQUEBERT,109,ISOLES,502h 00' 00'',-,,,4734,15,points,1807200,0
1910,35,CAMILLE BIERE,188,ISOLES,510h 00' 00'',-,,,4734,15,points,1836000,0
1910,36,GEORGES CAUVRY,184,ISOLES,510h 00' 00'',-,,,4734,15,points,1836000,0
1910,37,AUGUSTE DUFOUR,145,ISOLES,525h 00' 00'',-,,,4734,15,points,1890000,0
1910,38,LOUIS JOUIN,141,ISOLES,531h 00' 00'',-,,,4734,15,points,1911600,0
1910,39,RENÉ CHAUDE,147,ISOLES,549h 00' 00'',-,,,4734,15,points,1976400,0
1910,40,LOUIS PICARD,126,ISOLES,568h 00' 00'',-,,,4734,15,points,2044800,0
1910,41,CONSTANT COLLET,163,ISOLES,580h 00' 00'',-,,,4734,15,points,2088000,0
1911,1,GUSTAVE GARRIGOU,12,ALCYON,43h 00' 00'',-,,,5343,15,points,154800,0
1911,2,PAUL DUBOC,7,LA FRANCAISE,61h 00' 00'',-,,,5343,15,points,219600,0
1911,3,EMILE GEORGET,2,LA FRANCAISE,84h 00' 00'',-,,,5343,15,points,302400,0
1911,4,CHARLES CRUPELANDT,5,LA FRANCAISE,119h 00' 00'',-,,,5343,15,points,428400,0
1911,5,LOUIS HEUSGHEM,17,ALCYON,135h 00' 00'',-,,,5343,15,points,486000,0
1911,6,MARCEL GODIVIER,6,LA FRANCAISE,141h 00' 00'',-,,,5343,15,points,507600,0
1911,7,CHARLES CRUCHON,9,LA FRANCAISE,145h 00' 00'',-,,,5343,15,points,522000,0
1911,8,"ERNEST, DIT ''FABER ERNEST'' PAUL",14,ALCYON,153h 00' 00'',-,,,5343,15,points,550800,0
1911,9,ALBERT DUPONT,26,LE GLOBE,157h 00' 00'',-,,,5343,15,points,565200,0
1911,10,HENRI DEVROYE,22,LE GLOBE,171h 00' 00'',-,,,5343,15,points,615600,0
1911,11,FIRMIN LAMBOT,28,LE GLOBE,178h 00' 00'',-,,,5343,15,points,640800,0
1911,12,HENRI CORNET (GEBOREN JARDY),21,LE GLOBE,190h 00' 00'',-,,,5343,15,points,684000,0
