Rank,Rider,Rider No.,Team,Times,Gap,B,P,Year,Distance (km),Number of stages,ResultType,TotalSeconds,GapSeconds
29,OLIVIA BARIL,43.0,UAE TEAM ADQ,25h 50' 14'',+ 00h 32' 39'',,,2023,956,8,time,93014,1959
30,NATALIE GRINCZER,182.0,LIFEPLUS WAHOO,25h 52' 09'',+ 00h 34' 34'',,,2023,956,8,time,93129,2074
31,GRACE BROWN,73.0,FDJ-SUEZ,25h 52' 47'',+ 00h 35' 12'',,,2023,956,8,time,93167,2112
32,ELEONORA GASPARRINI,45.0,UAE TEAM ADQ,25h 53' 08'',+ 00h 35' 33'',,,2023,956,8,time,93188,2133
33,AUDREY CORDON RAGOT,151.0,HUMAN POWERED HEALTH,25h 54' 29'',+ 00h 36' 54'',06',,2023,956,8,time,93269,2214
34,SIMONE BOILARD,143.0,ST MICHEL - MAVIC - AUBER93,25h 54' 53'',+ 00h 37' 18'',,,2023,956,8,time,93293,2238
35,ELIZABETH DEIGNAN,63.0,LIDL - TREK,25h 57' 31'',+ 00h 39' 56'',,,2023,956,8,time,93451,2396
36,ELISE CHABBEY,23.0,CANYON//SRAM RACING,25h 57' 49'',+ 00h 40' 14'',,,2023,956,8,time,93469,2414
37,LÉA CURINIER,52.0,TEAM DSM-FIRMENICH,25h 58' 07'',+ 00h 40' 32'',,,2023,956,8,time,93487,2432
38,ROMY KASPER,107.0,AG INSURANCE - SOUDAL QUICK-STEP TEAM,25h 58' 17'',+ 00h 40' 42'',,,2023,956,8,time,93497,2442
39,CHRISTINA SCHWEINBERGER,115.0,FENIX-DECEUNINCK,25h 59' 17'',+ 00h 41' 42'',,,2023,956,8,time,93557,2502
40,ANOUSKA KOSTER,131.0,UNO-X PRO CYCLING TEAM,25h 59' 58'',+ 00h 42' 23'',10',,2023,956,8,time,93598,2543
41,ALICE ARZUFFI,193.0,CERATIZIT - WNT PRO CYCLING TEAM,26h 00' 35'',+ 00h 43' 00'',,,2023,956,8,time,93635,2580
42,SORAYA PALADIN,24.0,CANYON//SRAM RACING,26h 01' 07'',+ 00h 43' 32'',,,2023,956,8,time,93667,2612
43,ALENA AMIALIUSIK,42.0,UAE TEAM ADQ,26h 01' 57'',+ 00h 44' 22'',,,2023,956,8,time,93717,2662
44,ALICE TOWERS,27.0,CANYON//SRAM RACING,26h 02' 12'',+ 00h 44' 37'',,,2023,956,8,time,93732,2677
45,CAROLINE ANDERSSON,92.0,LIV RACING TEQFIND,26h 02' 48'',+ 00h 45' 13'',,,2023,956,8,time,93768,2713
46,SILKE SMULDERS,96.0,LIV RACING TEQFIND,26h 03' 00'',+ 00h 45' 25'',,,2023,956,8,time,93780,2725
47,JULIA BORGSTRÖM,104.0,AG INSURANCE - SOUDAL QUICK-STEP TEAM,26h 03' 30'',+ 00h 45' 55'',,,2023,956,8,time,93810,2755
48,ESMÉE PEPERKAMP,56.0,TEAM DSM-FIRMENICH,26h 03' 41'',+ 00h 46' 06'',,,2023,956,8,time,93821,2766
49,RACHEL NEYLAN,165.0,COFIDIS WOMEN TEAM,26h 05' 04'',+ 00h 47' 29'',,,2023,956,8,time,93904,2849
