Stages,Date,Start,Finish,Year
Stage 12,1930-07-15,Montpellier,Marseille,1930
Stage 13,1930-07-16,Marseille,Cannes,1930
Stage 14,1930-07-17,Cannes,Nice,1930
Stage 15,1930-07-19,Nice,Grenoble,1930
Stage 16,1930-07-21,Grenoble,Evian-les-Bains,1930
Stage 17,1930-07-23,Evian-les-Bains,Belfort,1930
Stage 18,1930-07-24,Belfort,Metz,1930
Stage 19,1930-07-25,Metz,Charleville-Mézières,1930
Stage 20,1930-07-26,Charleville-Mézières,Malo,1930
Stage 21,1930-07-27,Malo,Paris,1930
Stage 1,1931-06-30,Paris,Caen,1931
Stage 2,1931-07-01,Caen,Dinan,1931
Stage 3,1931-07-02,Dinan,Brest,1931
Stage 4,1931-07-03,Brest,Vannes,1931
Stage 5,1931-07-04,Vannes,Les Sables,1931
Stage 6,1931-07-05,Les Sables,Bordeaux,1931
Stage 7,1931-07-06,Bordeaux,Bayonne,1931
Stage 8,1931-07-07,Bayonne,Pau,1931
Stage 9,1931-07-08,Pau,Luchon,1931
Stage 10,1931-07-10,Luchon,Perpignan,1931
Stage 11,1931-07-12,Perpignan,Montpellier,1931
Stage 12,1931-07-13,Montpellier,Marseille,1931
Stage 13,1931-07-14,Marseille,Cannes,1931
Stage 14,1931-07-15,Cannes,Nice,1931
Stage 15,1931-07-17,Nice,Gap,1931
Stage 16,1931-07-18,Gap,Grenoble,1931
Stage 17,1931-07-19,Grenoble,Aix-les-Bains,1931
Stage 18,1931-07-20,Aix-les-Bains,Evian-les-Bains,1931
Stage 19,1931-07-21,Evian-les-Bains,Belfort,1931
Stage 20,1931-07-22,Belfort,Colmar,1931
Stage 21,1931-07-23,Colmar,Metz,1931
Stage 22,1931-07-24,Metz,Charleville-Mézières,1931
Stage 23,1931-07-25,Charleville-Mézières,Malo,1931
Stage 24,1931-07-26,Malo,Paris,1931
Stage 1,1932-07-06,Paris,Caen,1932
Stage 2,1932-07-07,Caen,Nantes,1932
Stage 3,1932-07-09,Nantes,Bordeaux,1932
Stage 4,1932-07-11,Bordeaux,Pau,1932
Stage 5,1932-07-12,Pau,Luchon,1932
Stage 6,1932-07-14,Luchon,Perpignan,1932
Stage 7,1932-07-16,Perpignan,Montpellier,1932
Stage 8,1932-07-17,Montpellier,Marseille,1932
Stage 9,1932-07-18,Marseille,Cannes,1932
Stage 10,1932-07-19,Cannes,Nice,1932
Stage 11,1932-07-21,Nice,Gap,1932
Stage 12,1932-07-22,Gap,Grenoble,1932
Stage 13,1932-07-23,Grenoble,Aix-les-Bains,1932
Stage 14,1932-07-24,Aix-les-Bains,Evian-les-Bains,1932
Stage 15,1932-07-25,Evian-les-Bains,Belfort,1932
Stage 16,1932-07-26,Belfort,Strasbourg,1932
Stage 17,1932-07-27,Strasbourg,Metz,1932
Stage 18,1932-07-28,Metz,Charleville-Mézières,1932
Stage 19,1932-07-29,Charleville-Mézières,Malo,1932
Stage 20,1932-07-30,Malo,Amiens,1932
Stage 21,1932-07-31,Amiens,Paris,1932
Stage 1,1933-06-27,Paris,Lille,1933
Stage 2,1933-06-28,Lille,Charleville-Mézières,1933
Stage 3,1933-06-29,Charleville-Mézières,Metz,1933
Stage 4,1933-06-30,Metz,Belfort,1933
Stage 5,1933-07-01,Belfort,Evian-les-Bains,1933
Stage 6,1933-07-03,Evian-les-Bains,Aix-les-Bains,1933
Stage 7,1933-07-04,Aix-les-Bains,Grenoble,1933
Stage 8,1933-07-05,Grenoble,Gap,1933
Stage 9,1933-07-06,Gap,Digne-les-Bains,1933
Stage 10,1933-07-07,Digne-les-Bains,Nice,1933
Stage 11,1933-07-09,Nice,Cannes,1933
Stage 12,1933-07-10,Cannes,Marseille,1933
Stage 13,1933-07-11,Marseille,Montpellier,1933
Stage 14,1933-07-12,Montpellier,Perpignan,1933
Stage 15,1933-07-14,Perpignan,Ax-les-Thermes,1933
Stage 16,1933-07-15,Ax-les-Thermes,Luchon,1933
Stage 17,1933-07-16,Luchon,Tarbes,1933
Stage 18,1933-07-17,Tarbes,Pau,1933
Stage 19,1933-07-19,Pau,Bordeaux,1933
Stage 20,1933-07-20,Bordeaux,La Rochelle,1933
Stage 21,1933-07-21,La Rochelle,Rennes,1933
Stage 22,1933-07-22,Rennes,Caen,1933
Stage 23,1933-07-23,Caen,Paris,1933
Stage 1,1934-07-03,Paris,Lille,1934
Stage 2,1934-07-04,Lille,Charleville-Mézières,1934
Stage 3,1934-07-05,Charleville-Mézières,Metz,1934
Stage 4,1934-07-06,Metz,Belfort,1934
Stage 5,1934-07-07,Belfort,Evian-les-Bains,1934
Stage 6,1934-07-09,Evian-les-Bains,Aix-les-Bains,1934
Stage 7,1934-07-10,Aix-les-Bains,Grenoble,1934
Stage 8,1934-07-11,Grenoble,Gap,1934
Stage 9,1934-07-12,Gap,Digne-les-Bains,1934
Stage 10,1934-07-13,Digne-les-Bains,Nice,1934
Stage 11,1934-07-15,Nice,Cannes,1934
Stage 12,1934-07-16,Cannes,Marseille,1934
Stage 13,1934-07-17,Marseille,Montpellier,1934
Stage 14,1934-07-18,Montpellier,Perpignan,1934
Stage 15,1934-07-20,Perpignan,Ax-les-Thermes,1934
Stage 16,1934-07-21,Ax-les-Thermes,Luchon,1934
Stage 17,1934-07-22,Luchon,Tarbes,1934
Stage 18,1934-07-23,Tarbes,Pau,1934
Stage 19,1934-07-25,Pau,Bordeaux,1934
Stage 20,1934-07-26,Bordeaux,La Rochelle,1934
Stage 21.1,1934-07-27,La Rochelle,La Roche-sur-Yon,1934
Stage 21.2,1934-07-27,La Roche-sur-Yon,Nantes,1934
Stage 22,1934-07-28,Nantes,Caen,1934
Stage 23,1934-07-29,Caen,Paris,1934
Stage 1,1935-07-04,Paris,Lille,1935
Stage 2,1935-07-05,Lille,Charleville-Mézières,1935
Stage 3,1935-07-06,Charleville-Mézières,Metz,1935
Stage 4,1935-07-07,Metz,Belfort,1935
Stage 5.1,1935-07-08,Belfort,Genève,1935
Stage 5.2,1935-07-08,Genève,Evian-les-Bains,1935
Stage 6,1935-07-10,Evian-les-Bains,Aix-les-Bains,1935
Stage 7,1935-07-11,Aix-les-Bains,Grenoble,1935
Stage 8,1935-07-12,Grenoble,Gap,1935
Stage 9,1935-07-13,Gap,Digne-les-Bains,1935
Stage 10,1935-07-14,Digne-les-Bains,Nice,1935
Stage 11,1935-07-16,Nice,Cannes,1935
Stage 12,1935-07-17,Cannes,Marseille,1935
Stage 13.1,1935-07-18,Marseille,Nimes,1935
Stage 13.2,1935-07-18,Nimes,Montpellier,1935
Stage 14.1,1935-07-19,Montpellier,Narbonne,1935
Stage 14.2,1935-07-19,Narbonne,Perpignan,1935
Stage 15,1935-07-20,Perpignan,Luchon,1935
Stage 16,1935-07-22,Luchon,Pau,1935
Stage 17,1935-07-24,Pau,Bordeaux,1935
Stage 18.1,1935-07-25,Bordeaux,Rochefort,1935
Stage 18.2,1935-07-25,Rochefort,La Rochelle,1935
Stage 19.1,1935-07-26,La Rochelle,La Roche-sur-Yon,1935
Stage 19.2,1935-07-26,La Roche-sur-Yon,Nantes,1935
Stage 20.1,1935-07-27,Nantes,Vire,1935
Stage 20.2,1935-07-27,Vire,Caen,1935
Stage 21,1935-07-28,Caen,Paris,1935
Stage 1,1936-07-07,Paris,Lille,1936
Stage 2,1936-07-08,Lille,Charleville-Mézières,1936
Stage 3,1936-07-09,Charleville-Mézières,Metz,1936
Stage 4,1936-07-10,Metz,Belfort,1936
Stage 5,1936-07-11,Belfort,Evian-les-Bains,1936
Stage 6,1936-07-13,Evian-les-Bains,Aix-les-Bains,1936
Stage 7,1936-07-14,Aix-les-Bains,Grenoble,1936
Stage 8,1936-07-15,Grenoble,Briançon,1936
Stage 9,1936-07-16,Briançon,Digne-les-Bains,1936
Stage 10,1936-07-18,Digne-les-Bains,Nice,1936
Stage 11,1936-07-19,Nice,Cannes,1936
Stage 12,1936-07-21,Cannes,Marseille,1936
Stage 13.1,1936-07-22,Marseille,Nimes,1936
