Rank,Rider,Rider No.,Team,Times,Gap,B,P,Year,Duration (seconds),Gap (seconds),Result type
12,RENÉ VANDENBERGHE,50,THOMANN,194h 00' 00'',-,,,1912,698400,0,points
13,VICENZO BORGARELLO,29,J.B-LOUVET,212h 00' 00'',-,,,1912,763200,0,points
14,FRANÇOIS FABER,31,AUTOMOTO,229h 00' 00'',-,,,1912,824400,0,points
15,LOUIS ENGEL,41,AIGLON,241h 00' 00'',-,,,1912,867600,0,points
16,CHARLES DERUYTER,13,PEUGEOT,255h 00' 00'',-,,,1912,918000,0,points
17,JACQUES COOMANS,48,THOMANN,260h 00' 00'',-,,,1912,936000,0,points
18,FIRMIN LAMBOT,39,LE GLOBE,265h 00' 00'',-,,,1912,954000,0,points
19,OTTAVIO PRATESI,198,ISOLES,304h 00' 00'',-,,,1912,1094400,0,points
20,CHARLES GUYOT,45,AIGLON,309h 00' 00'',-,,,1912,1112400,0,points
21,JULES DELOFFRE,156,ISOLES,320h 00' 00'',-,,,1912,1152000,0,points
22,GABRIEL FIGUET,20,GRIFFON,335h 00' 00'',-,,,1912,1206000,0,points
23,EDOUARD LEONARD,28,J.B-LOUVET,346h 00' 00'',-,,,1912,1245600,0,points
24,EUGÈNE DHERS,32,AUTOMOTO,354h 00' 00'',-,,,1912,1274400,0,points
25,PIERRE-JOSEPH HEUSGHEM,38,LE GLOBE,358h 00' 00'',-,,,1912,1288800,0,points
26,PIERRE EVERAERT,166,ISOLES,364h 00' 00'',-,,,1912,1310400,0,points
27,JULIEN MAITRON,35,AUTOMOTO,366h 00' 00'',-,,,1912,1317600,0,points
28,HENRI CORNET (GEBOREN JARDY),36,LE GLOBE,398h 00' 00'',-,,,1912,1432800,0,points
29,FRANÇOIS LAFOURCADE,169,ISOLES,398h 00' 00'',-,,,1912,1432800,0,points
30,AUGUSTINN RINGEVAL,143,ISOLES,408h 00' 00'',-,,,1912,1468800,0,points
31,MAURICE LELIAERT,102,ISOLES,487h 00' 00'',-,,,1912,1753200,0,points
32,GEORGES OUDIN,159,ISOLES,494h 00' 00'',-,,,1912,1778400,0,points
33,FERNAND COURCELLES,127,ISOLES,495h 00' 00'',-,,,1912,1782000,0,points
34,RAYMOND HARQUET,136,ISOLES,512h 00' 00'',-,,,1912,1843200,0,points
35,EMILE DRUZ,177,ISOLES,544h 00' 00'',-,,,1912,1958400,0,points
36,EMILE EIGELDINGER,145,ISOLES,545h 00' 00'',-,,,1912,1962000,0,points
37,CHARLES DUMONT,202,ISOLES,546h 00' 00'',-,,,1912,1965600,0,points
38,HENRI ALAVOINE,106,ISOLES,577h 00' 00'',-,,,1912,2077200,0,points
39,EMILE CAUDRELIER,189,ISOLES,596h 31' 23'',-,,,1912,2147483,0,points
40,GASTON NEBOUX,151,ISOLES,596h 31' 23'',-,,,1912,2147483,0,points
41,MAURICE DARTIGUE,199,ISOLES,596h 31' 23'',-,,,1912,2147483,0,points
1,PHILIPPE THYS,15,PEUGEOT,197h 54' 00'',-,,,1913,712440,0,time
2,GUSTAVE GARRIGOU,14,PEUGEOT,198h 02' 37'',+ 00h 08' 37'',,,1913,712957,517,time
3,MARCEL BUYSSE,12,PEUGEOT,201h 24' 55'',+ 03h 30' 55'',,,1913,725095,12655,time
4,FIRMIN LAMBOT,38,GRIFFON,202h 06' 45'',+ 04h 12' 45'',,,1913,727605,15165,time
5,FRANÇOIS FABER,9,PEUGEOT,204h 20' 04'',+ 06h 26' 04'',,,1913,735604,23164,time
6,ALFONS SPIESSENS,42,JB LOUVET,205h 51' 52'',+ 07h 57' 52'',,,1913,741112,28672,time
7,EUGÈNE CHRISTOPHE,11,PEUGEOT,212h 00' 35'',+ 14h 06' 35'',,,1913,763235,50795,time
8,CAMILLO BERTARELLI,169,ISOLES,214h 15' 38'',+ 16h 21' 38'',,,1913,771338,58898,time
9,JOSEPH VAN DAELE,41,JB LOUVET,214h 33' 53'',+ 16h 39' 53'',,,1913,772433,59993,time
10,EMILE ENGEL,16,PEUGEOT,214h 46' 34'',+ 16h 52' 34'',,,1913,773194,60754,time
11,LOUIS TROUSSELIER,47,JB LOUVET,216h 05' 30'',+ 18h 11' 30'',,,1913,777930,65490,time
12,JULES DELOFFRE,151,ISOLES,216h 15' 31'',+ 18h 21' 31'',,,1913,778531,66091,time
13,CLEMENTE CANEPARI,45,JB LOUVET,216h 55' 13'',+ 19h 01' 13'',,,1913,780913,68473,time
14,PAUL DEMAN,19,AUTOMOTO,217h 11' 02'',+ 19h 17' 02'',,,1913,781862,69422,time
15,VINCENT D'HULST,116,ISOLES,218h 04' 12'',+ 20h 10' 12'',,,1913,785052,72612,time
16,LOUIS PETITJEAN,199,ISOLES,219h 54' 27'',+ 22h 00' 27'',,,1913,791667,79227,time
17,PAUL HOSTEIN,13,PEUGEOT,223h 35' 06'',+ 25h 41' 06'',,,1913,804906,92466,time
18,MAURICE LELIAERT,113,ISOLES,224h 12' 25'',+ 26h 18' 25'',,,1913,807145,94705,time
19,JEAN ALAVOINE,10,PEUGEOT,225h 37' 47'',+ 27h 43' 47'',,,1913,812267,99827,time
20,GIUSEPPE CONTESINI,175,ISOLES,227h 31' 34'',+ 29h 37' 34'',,,1913,819094,106654,time
21,LOUIS COLSAET,128,ISOLES,228h 40' 50'',+ 30h 46' 50'',,,1913,823250,110810,time
22,LUC DE SMET,129,ISOLES,252h 38' 07'',+ 54h 44' 07'',,,1913,909487,197047,time
23,CHARLES DUMONT,133,ISOLES,262h 27' 55'',+ 64h 33' 55'',,,1913,944875,232435,time
24,CELIDONIO MORINI,143,ISOLES,274h 25' 47'',+ 76h 31' 47'',,,1913,987947,275507,time
25,HENRI ALAVOINE,107,ISOLES,274h 49' 52'',+ 76h 55' 52'',,,1913,989392,276952,time
1,PHILIPPE THYS,15,PEUGEOT-WOLBER,200h 28' 48'',-,,,1914,721728,0,time
2,HENRI PELISSIER,18,PEUGEOT-WOLBER,200h 30' 38'',+ 00h 01' 50'',,,1914,721838,110,time
3,JEAN ALAVOINE,16,PEUGEOT-WOLBER,201h 05' 41'',+ 00h 36' 53'',,,1914,723941,2213,time
4,JEAN ROSSIUS,5,ALCYON-SOLY,202h 25' 53'',+ 01h 57' 05'',,,1914,728753,7025,time
5,GUSTAVE GARRIGOU,10,PEUGEOT-WOLBER,203h 29' 09'',+ 03h 00' 21'',,,1914,732549,10821,time
6,ALFONS SPIESSENS,51,J.B. LOUVET-CONTINENTAL,204h 22' 43'',+ 03h 53' 55'',,,1914,735763,14035,time
7,EMILE GEORGET,11,PEUGEOT-WOLBER,204h 49' 47'',+ 04h 20' 59'',,,1914,737387,15659,time
8,FIRMIN LAMBOT,17,PEUGEOT-WOLBER,205h 37' 32'',+ 05h 08' 44'',,,1914,740252,18524,time
9,FRANÇOIS FABER,9,PEUGEOT-WOLBER,206h 44' 41'',+ 06h 15' 53'',,,1914,744281,22553,time
10,LOUIS HEUSGHEM,19,PEUGEOT-WOLBER,207h 17' 50'',+ 06h 49' 02'',,,1914,746270,24542,time
11,EUGÈNE CHRISTOPHE,14,PEUGEOT-WOLBER,209h 00' 46'',+ 08h 31' 58'',,,1914,752446,30718,time
12,"ERNEST, DIT ''FABER ERNEST'' PAUL",38,DEL,210h 11' 39'',+ 09h 42' 51'',,,1914,756699,34971,time
13,OSCAR EGG,13,PEUGEOT-WOLBER,210h 29' 28'',+ 10h 00' 40'',,,1914,757768,36040,time
14,LÉON SCIEUR,70,THOMANN-JOLY,210h 31' 18'',+ 10h 02' 30'',,,1914,757878,36150,time
15,CAMILLE BOTTE,151,ISOLES,210h 43' 21'',+ 10h 14' 33'',,,1914,758601,36873,time
16,ANGELO ERBA,60,ALLELUIA-CONTINENTAL,211h 50' 10'',+ 11h 21' 22'',,,1914,762610,40882,time
17,DON KIRKHAM,48,PHEBUS-DUNLOP,212h 22' 27'',+ 11h 53' 39'',,,1914,764547,42819,time
18,CHARLES KIPPERT,35,GLADIATOR-DUNLOP,212h 54' 09'',+ 12h 25' 21'',,,1914,766449,44721,time
19,JACQUES COOMANS,71,THOMANN-JOLY,212h 55' 03'',+ 12h 26' 15'',,,1914,766503,44775,time
20,IVOR MUNRO,49,PHEBUS-DUNLOP,213h 05' 45'',+ 12h 36' 57'',,,1914,767145,45417,time
21,CHARLES CHARRON,40,DEL,213h 28' 11'',+ 12h 59' 23'',,,1914,768491,46763,time
22,HENRI DEVROYE,41,ARMOR-SOLY,213h 51' 02'',+ 13h 22' 14'',,,1914,769862,48134,time
23,MAURICE BROCCO,31,GLADIATOR-DUNLOP,215h 01' 24'',+ 14h 32' 36'',,,1914,774084,52356,time
24,JULIEN TUYTTEN,173,ISOLES,215h 05' 02'',+ 14h 36' 14'',,,1914,774302,52574,time
25,VICENZO BORGARELLO,42,CLEMENT-DUNLOP,215h 47' 09'',+ 15h 18' 21'',,,1914,776829,55101,time
26,LOUIS PETITJEAN,39,DEL,216h 07' 32'',+ 15h 38' 44'',,,1914,778052,56324,time
27,JULES NEMPON,55,J.B. LOUVET-CONTINENTAL,217h 01' 43'',+ 16h 32' 55'',,,1914,781303,59575,time
28,RENÉ VANDENBERGHE,50,J.B. LOUVET-CONTINENTAL,217h 31' 51'',+ 17h 03' 03'',,,1914,783111,61383,time
29,MARCEL BAUMLER,20,PEUGEOT-WOLBER,217h 34' 43'',+ 17h 05' 55'',,,1914,783283,61555,time
30,MARCEL GODIVIER,32,GLADIATOR-DUNLOP,218h 45' 45'',+ 18h 16' 57'',,,1914,787545,65817,time
31,PAUL DUBOC,27,AUTOMOTO-CONTINENTAL,219h 02' 20'',+ 18h 33' 32'',,,1914,788540,66812,time
32,PIERRE EVERAERT,154,ISOLES,219h 47' 52'',+ 19h 19' 04'',,,1914,791272,69544,time
33,OTTAVIO PRATESI,197,ISOLES,220h 58' 28'',+ 20h 29' 40'',,,1914,795508,73780,time
34,CONSTANT MENAGER,33,GLADIATOR-DUNLOP,221h 25' 33'',+ 20h 56' 45'',,,1914,797133,75405,time
35,CHARLES CRUCHON,34,GLADIATOR-DUNLOP,221h 33' 44'',+ 21h 04' 56'',,,1914,797624,75896,time
36,JULES DELOFFRE,124,ISOLES,222h 32' 03'',+ 22h 03' 15'',,,1914,801123,79395,time
37,CAMILLO BERTARELLI,57,ALLELUIA-CONTINENTAL,223h 37' 14'',+ 23h 08' 26'',,,1914,805034,83306,time
38,LOUIS TROUSSELIER,28,AUTOMOTO-CONTINENTAL,224h 14' 18'',+ 23h 45' 30'',,,1914,807258,85530,time
39,ADRIEN ALPINI,110,ISOLES,226h 41' 10'',+ 26h 12' 22'',,,1914,816070,94342,time
40,GASTON DEGY,26,AUTOMOTO-CONTINENTAL,220h 34' 42'',+ 20h 05' 54'',,,1914,794082,72354,time
41,RAYMOND HARQUET,59,ALLELUIA-CONTINENTAL,230h 32' 53'',+ 30h 04' 05'',,,1914,829973,108245,time
42,LOUIS ENGEL,37,DEL,231h 23' 11'',+ 30h 54' 23'',,,1914,832991,111263,time
43,EMILE GUYON,123,ISOLES,231h 23' 53'',+ 30h 55' 05'',,,1914,833033,111305,time
44,MARIO SPINELLI,179,ISOLES,235h 42' 23'',+ 35h 13' 35'',,,1914,848543,126815,time
46,CHARLES DUMONT,113,ISOLES,238h 11' 19'',+ 37h 42' 31'',,,1914,857479,135751,time
47,RENÉ COTTREL,135,ISOLES,247h 57' 54'',+ 47h 29' 06'',,,1914,892674,170946,time
48,SANTE GOI,189,ISOLES,252h 44' 20'',+ 52h 15' 32'',,,1914,909860,188132,time
49,EDUARDO CUCHETTI,161,ISOLES,250h 49' 04'',+ 50h 20' 16'',,,1914,902944,181216,time
50,GASTON NEBOUX,165,ISOLES,260h 27' 49'',+ 59h 59' 01'',,,1914,937669,215941,time
51,HENRY ALLARD,141,ISOLES,268h 15' 12'',+ 67h 46' 24'',,,1914,965712,243984,time
52,HENRI ALAVOINE,104,ISOLES,274h 24' 09'',+ 73h 55' 21'',,,1914,987849,266121,time
53,MARCEL ROTTIE,114,ISOLES,284h 31' 58'',+ 84h 03' 10'',,,1914,1024318,302590,time
54,HENRI LECLERC,138,ISOLES,299h 33' 33'',+ 99h 04' 45'',,,1914,1078413,356685,time
1,FIRMIN LAMBOT,45,TDF 1919 ***,231h 07' 15'',-,,,1919,832035,0,time
2,JEAN ALAVOINE,42,TDF 1919 ***,232h 50' 09'',+ 01h 42' 54'',,,1919,838209,6174,time
3,EUGÈNE CHRISTOPHE,46,TDF 1919 ***,233h 33' 46'',+ 02h 26' 31'',,,1919,840826,8791,time
4,LÉON SCIEUR,57,TDF 1919 ***,233h 59' 30'',+ 02h 52' 15'',,,1919,842370,10335,time
5,HONORÉ BARTHELEMY,49,TDF 1919 ***,235h 21' 37'',+ 04h 14' 22'',,,1919,847297,15262,time
6,JACQUES COOMANS,63,TDF 1919 ***,246h 28' 49'',+ 15h 21' 34'',,,1919,887329,55294,time
7,LUIGI LUCOTTI,19,TDF 1919 ***,247h 08' 27'',+ 16h 01' 12'',,,1919,889707,57672,time
8,JOSEPH VAN DAELE,55,TDF 1919 ***,249h 30' 17'',+ 18h 23' 02'',,,1919,898217,66182,time
9,ALFRED STEUX,56,TDF 1919 ***,251h 36' 16'',+ 20h 29' 01'',,,1919,905776,73741,time
10,JULES NEMPON,151,TDF 1919 ***,252h 51' 27'',+ 21h 44' 12'',,,1919,910287,78252,time
1,PHILIPPE THYS,15,TDF 1920 ***,228h 36' 13'',-,,,1920,822973,0,time
2,HECTOR HEUSGHEM,30,TDF 1920 ***,229h 33' 34'',+ 00h 57' 21'',,,1920,826414,3441,time
3,FIRMIN LAMBOT,2,TDF 1920 ***,230h 10' 43'',+ 01h 34' 30'',,,1920,828643,5670,time
4,LÉON SCIEUR,13,TDF 1920 ***,230h 16' 06'',+ 01h 39' 53'',,,1920,828966,5993,time
5,EMILE ''SENIOR'' MASSON,14,TDF 1920 ***,231h 28' 00'',+ 02h 51' 47'',,,1920,833280,10307,time
6,LOUIS HEUSGHEM,6,TDF 1920 ***,232h 17' 00'',+ 03h 40' 47'',,,1920,836220,13247,time
7,JEAN ROSSIUS,11,TDF 1920 ***,232h 26' 08'',+ 03h 49' 55'',,,1920,836768,13795,time
8,HONORÉ BARTHELEMY,3,TDF 1920 ***,234h 11' 32'',+ 05h 35' 19'',,,1920,843092,20119,time
9,FÉLIX GOETHALS,24,TDF 1920 ***,237h 59' 20'',+ 09h 23' 07'',,,1920,856760,33787,time
10,JOSEPH VAN DAELE,8,TDF 1920 ***,239h 21' 54'',+ 10h 45' 41'',,,1920,861714,38741,time
11,EUGÈNE DHERS,32,TDF 1920 ***,239h 51' 22'',+ 11h 15' 09'',,,1920,863482,40509,time
12,JOSÉ PELLETIER,145,TDF 1920 ***,248h 40' 45'',+ 20h 04' 32'',,,1920,895245,72272,time
13,THÉO WYNSDAU,201,TDF 1920 ***,253h 50' 15'',+ 25h 14' 02'',,,1920,913815,90842,time
14,NOËL AMENC,162,TDF 1920 ***,262h 02' 00'',+ 33h 25' 47'',,,1920,943320,120347,time
15,JOSEPH MULLER,118,TDF 1920 ***,262h 25' 06'',+ 33h 48' 53'',,,1920,944706,121733,time
16,HENRI FERRARA,161,TDF 1920 ***,263h 08' 40'',+ 34h 32' 27'',,,1920,947320,124347,time
17,GUILLAUME CECHERELLI,115,TDF 1920 ***,277h 16' 48'',+ 48h 40' 35'',,,1920,998208,175235,time
18,MARIUS MATHERON,143,TDF 1920 ***,279h 47' 17'',+ 51h 11' 04'',,,1920,1007237,184264,time
19,ETIENNE DORFEUILLE,112,TDF 1920 ***,281h 46' 13'',+ 53h 10' 00'',,,1920,1014373,191400,time
20,PIERRE HUDSYN,188,TDF 1920 ***,284h 12' 25'',+ 55h 36' 12'',,,1920,1023145,200172,time
21,ANDRÉ COUTTE,190,TDF 1920 ***,284h 34' 01'',+ 55h 57' 48'',,,1920,1024441,201468,time
22,CHARLES RABOISON,138,TDF 1920 ***,297h 36' 18'',+ 69h 00' 05'',,,1920,1071378,248405,time
1,LÉON SCIEUR,19,TDF 1921 ***,221h 50' 26'',-,,,1921,798626,0,time
2,HECTOR HEUSGHEM,3,TDF 1921 ***,222h 09' 02'',+ 00h 18' 36'',,,1921,799742,1116,time
4,LUIGI LUCOTTI,25,TDF 1921 ***,224h 29' 44'',+ 02h 39' 18'',,,1921,808184,9558,time
5,HECTOR TIBERGHEN,12,TDF 1921 ***,226h 23' 45'',+ 04h 33' 19'',,,1921,815025,16399,time
6,VICTOR LEENAERTS,139,TDF 1921 ***,226h 43' 49'',+ 04h 53' 23'',,,1921,816229,17603,time
7,LÉON DESPONTIN,126,TDF 1921 ***,226h 52' 20'',+ 05h 01' 54'',,,1921,816740,18114,time
8,CAMILLE LEROY,181,TDF 1921 ***,229h 46' 53'',+ 07h 56' 27'',,,1921,827213,28587,time
9,FIRMIN LAMBOT,4,TDF 1921 ***,230h 16' 51'',+ 08h 26' 25'',,,1921,829011,30385,time
10,FÉLIX GOETHALS,10,TDF 1921 ***,230h 32' 52'',+ 08h 42' 26'',,,1921,829972,31346,time
11,LOUIS MOTTIAT,7,TDF 1921 ***,230h 41' 50'',+ 08h 51' 24'',,,1921,830510,31884,time
12,EUGÈNE DHERS,105,TDF 1921 ***,231h 35' 02'',+ 09h 44' 36'',,,1921,833702,35076,time
13,HENRI FERRARA,140,TDF 1921 ***,233h 49' 00'',+ 11h 58' 34'',,,1921,841740,43114,time
14,NOËL AMENC,141,TDF 1921 ***,234h 27' 49'',+ 12h 37' 23'',,,1921,844069,45443,time
15,JOSEPH MULLER,210,TDF 1921 ***,234h 27' 49'',+ 12h 37' 23'',,,1921,844069,45443,time
16,FÉLIX SELLIER,110,TDF 1921 ***,235h 47' 11'',+ 13h 56' 45'',,,1921,848831,50205,time
17,HENRI COLLE,218,TDF 1921 ***,236h 52' 48'',+ 15h 02' 22'',,,1921,852768,54142,time
18,ENRICO SALA,186,TDF 1921 ***,240h 59' 44'',+ 19h 09' 18'',,,1921,867584,68958,time
19,GUILLAUME CECHERELLI,133,TDF 1921 ***,244h 39' 38'',+ 22h 49' 12'',,,1921,880778,82152,time
20,AUGUSTE MEYER,173,TDF 1921 ***,244h 44' 10'',+ 22h 53' 44'',,,1921,881050,82424,time
21,BENJAMIN JAVAUX,174,TDF 1921 ***,247h 16' 00'',+ 25h 25' 34'',,,1921,890160,91534,time
22,PIERRE HUDSYN,117,TDF 1921 ***,248h 44' 10'',+ 26h 53' 44'',,,1921,895450,96824,time
23,JOSEPH NORMAND,162,TDF 1921 ***,249h 56' 06'',+ 28h 05' 40'',,,1921,899766,101140,time
24,ETIENNE DORFEUILLE,138,TDF 1921 ***,249h 58' 10'',+ 28h 07' 44'',,,1921,899890,101264,time
25,CHARLES RABOISON,183,TDF 1921 ***,250h 48' 58'',+ 28h 58' 32'',,,1921,902938,104312,time
26,JULES DELOFFRE,123,TDF 1921 ***,254h 01' 14'',+ 32h 10' 48'',,,1921,914474,115848,time
27,"ERNEST, DIT ''FABER ERNEST'' PAUL",159,TDF 1921 ***,255h 18' 00'',+ 33h 27' 34'',,,1921,919080,120454,time
28,EDGARD ROY,111,TDF 1921 ***,255h 34' 41'',+ 33h 44' 15'',,,1921,920081,121455,time
29,CHARLES PAREL,200,TDF 1921 ***,256h 19' 34'',+ 34h 29' 08'',,,1921,922774,124148,time
30,PAUL COPPENS,103,TDF 1921 ***,223h 48' 11'',+ 01h 57' 45'',,,1921,805691,7065,time
31,JEAN KIENLEN,128,TDF 1921 ***,258h 08' 32'',+ 36h 18' 06'',,,1921,929312,130686,time
32,LUCIEN POTHIER,124,TDF 1921 ***,263h 35' 37'',+ 41h 45' 11'',,,1921,948937,150311,time
33,LUCIEN ROQUEBERT,146,TDF 1921 ***,271h 27' 51'',+ 49h 37' 25'',,,1921,977271,178645,time
34,ROBERT CONSTANTIN,109,TDF 1921 ***,278h 58' 05'',+ 57h 07' 39'',,,1921,1004285,205659,time
35,CHARLES CENTO,115,TDF 1921 ***,279h 31' 51'',+ 57h 41' 25'',,,1921,1006311,207685,time
36,GEORGES KAMM,154,TDF 1921 ***,279h 50' 35'',+ 58h 00' 09'',,,1921,1007435,208809,time
37,ADRIEN ALPINI,144,TDF 1921 ***,282h 25' 22'',+ 60h 34' 56'',,,1921,1016722,218096,time
38,HENRI CATELAN,104,TDF 1921 ***,284h 10' 23'',+ 62h 19' 57'',,,1921,1023023,224397,time
1,FIRMIN LAMBOT,13,TDF 1922 ***,222h 08' 06'',-,,,1922,799686,0,time
2,JEAN ALAVOINE,9,TDF 1922 ***,222h 49' 21'',+ 00h 41' 15'',,,1922,802161,2475,time
3,FÉLIX SELLIER,22,TDF 1922 ***,222h 50' 08'',+ 00h 42' 02'',,,1922,802208,2522,time
4,HECTOR HEUSGHEM,23,TDF 1922 ***,222h 52' 02'',+ 00h 43' 56'',,,1922,802322,2636,time
5,VICTOR LEENAERTS,8,TDF 1922 ***,222h 53' 38'',+ 00h 45' 32'',,,1922,802418,2732,time
6,HECTOR TIBERGHEN,12,TDF 1922 ***,223h 29' 41'',+ 01h 21' 35'',,,1922,804581,4895,time
7,LÉON DESPONTIN,14,TDF 1922 ***,224h 32' 35'',+ 02h 24' 29'',,,1922,808355,8669,time
8,EUGÈNE CHRISTOPHE,5,TDF 1922 ***,225h 33' 45'',+ 03h 25' 39'',,,1922,812025,12339,time
9,JEAN ROSSIUS,2,TDF 1922 ***,225h 34' 12'',+ 03h 26' 06'',,,1922,812052,12366,time
10,FEDERICO GAY,27,TDF 1922 ***,226h 00' 05'',+ 03h 51' 59'',,,1922,813605,13919,time
11,EMILE ''SENIOR'' MASSON,21,TDF 1922 ***,226h 08' 27'',+ 04h 00' 21'',,,1922,814107,14421,time
12,GASTON DEGY,17,TDF 1922 ***,226h 57' 19'',+ 04h 49' 13'',,,1922,817039,17353,time
13,ARSÈNE ALANCOURT,28,TDF 1922 ***,227h 29' 02'',+ 05h 20' 56'',,,1922,818942,19256,time
14,PHILIPPE THYS,15,TDF 1922 ***,227h 57' 04'',+ 05h 48' 58'',,,1922,820624,20938,time
15,JOSÉ PELLETIER,110,TDF 1922 ***,228h 01' 35'',+ 05h 53' 29'',,,1922,820895,21209,time
16,JOSEPH MULLER,19,TDF 1922 ***,229h 59' 29'',+ 07h 51' 23'',,,1922,827969,28283,time
17,GIUSEPPE SANTHIA,190,TDF 1922 ***,230h 05' 29'',+ 07h 57' 23'',,,1922,828329,28643,time
18,THÉOPHILE BEECKMAN,166,TDF 1922 ***,231h 11' 41'',+ 09h 03' 35'',,,1922,832301,32615,time
19,LOUIS HEUSGHEM,18,TDF 1922 ***,231h 58' 40'',+ 09h 50' 34'',,,1922,835120,35434,time
20,JULES NEMPON,124,TDF 1922 ***,233h 20' 02'',+ 11h 11' 56'',,,1922,840002,40316,time
21,ALFONS STANDAERT,187,TDF 1922 ***,233h 36' 52'',+ 11h 28' 46'',,,1922,841012,41326,time
22,EDGARD ROY,105,TDF 1922 ***,236h 37' 07'',+ 14h 29' 01'',,,1922,851827,52141,time
23,JOSEPH MARCHAND,165,TDF 1922 ***,237h 06' 20'',+ 14h 58' 14'',,,1922,853580,53894,time
24,ENRICO SALA,208,TDF 1922 ***,238h 35' 27'',+ 16h 27' 21'',,,1922,858927,59241,time
25,JULES MATTON,168,TDF 1922 ***,239h 45' 45'',+ 17h 37' 39'',,,1922,863145,63459,time
26,PIERRE HUDSYN,178,TDF 1922 ***,242h 38' 23'',+ 20h 30' 17'',,,1922,873503,73817,time
27,CHARLES PAREL,163,TDF 1922 ***,244h 26' 15'',+ 22h 18' 09'',,,1922,879975,80289,time
28,LÉON VAN AKEN,164,TDF 1922 ***,246h 08' 30'',+ 24h 00' 24'',,,1922,886110,86424,time
29,ANGE-MARIE AUBRY,161,TDF 1922 ***,249h 28' 42'',+ 27h 20' 36'',,,1922,898122,98436,time
30,"ERNEST, DIT ''FABER ERNEST'' PAUL",184,TDF 1922 ***,250h 43' 14'',+ 28h 35' 08'',,,1922,902594,102908,time
31,GEORGES KAMM,127,TDF 1922 ***,254h 31' 03'',+ 32h 22' 57'',,,1922,916263,116577,time
32,CHARLES LOEW,169,TDF 1922 ***,248h 28' 25'',+ 26h 20' 19'',,,1922,894505,94819,time
33,JULES BRUN,156,TDF 1922 ***,268h 45' 05'',+ 46h 36' 59'',,,1922,967505,167819,time
34,EMMANUELLE LUIGI,121,TDF 1922 ***,269h 31' 19'',+ 47h 23' 13'',,,1922,970279,170593,time
35,LAURENT DEVALLE,125,TDF 1922 ***,276h 32' 26'',+ 54h 24' 20'',,,1922,995546,195860,time
36,ROBERT CONSTANTIN,160,TDF 1922 ***,277h 01' 35'',+ 54h 53' 29'',,,1922,997295,197609,time
37,CHARLES HENNUYER,151,TDF 1922 ***,283h 21' 18'',+ 61h 13' 12'',,,1922,1020078,220392,time
38,DANIEL MASSON,179,TDF 1922 ***,290h 01' 47'',+ 67h 53' 41'',,,1922,1044107,244421,time
1,HENRI PELISSIER,23,TDF 1923 ***,222h 15' 30'',-,,,1923,800130,0,time
2,OTTAVIO BOTTECCHIA,26,TDF 1923 ***,222h 46' 11'',+ 00h 30' 41'',,,1923,801971,1841,time
3,ROMAIN BELLENGER,5,TDF 1923 ***,223h 20' 13'',+ 01h 04' 43'',,,1923,804013,3883,time
4,HECTOR TIBERGHEN,6,TDF 1923 ***,223h 44' 46'',+ 01h 29' 16'',,,1923,805486,5356,time
5,ARSÈNE ALANCOURT,30,TDF 1923 ***,224h 22' 10'',+ 02h 06' 40'',,,1923,807730,7600,time
6,HENRI COLLE,102,TDF 1923 ***,224h 44' 13'',+ 02h 28' 43'',,,1923,809053,8923,time
7,LÉON DESPONTIN,8,TDF 1923 ***,224h 55' 19'',+ 02h 39' 49'',,,1923,809719,9589,time
8,LUCIEN BUYSSE,25,TDF 1923 ***,224h 55' 41'',+ 02h 40' 11'',,,1923,809741,9611,time
9,EUGÈNE DHERS,101,TDF 1923 ***,225h 14' 39'',+ 02h 59' 09'',,,1923,810879,10749,time
10,MARCEL HUOT,19,TDF 1923 ***,225h 32' 26'',+ 03h 16' 56'',,,1923,811946,11816,time
11,JOSEPH MULLER,10,TDF 1923 ***,225h 42' 16'',+ 03h 26' 46'',,,1923,812536,12406,time
12,OTTAVIO PRATESI,299,TDF 1923 ***,225h 50' 36'',+ 03h 35' 06'',,,1923,813036,12906,time
13,FÉLIX GOETHALS,29,TDF 1923 ***,226h 37' 08'',+ 04h 21' 38'',,,1923,815828,15698,time
14,THÉOPHILE BEECKMAN,18,TDF 1923 ***,227h 15' 34'',+ 05h 00' 04'',,,1923,818134,18004,time
15,JOSEPH NORMAND,112,TDF 1923 ***,227h 25' 29'',+ 05h 09' 59'',,,1923,818729,18599,time
16,GASTON DEGY,7,TDF 1923 ***,227h 51' 27'',+ 05h 35' 57'',,,1923,820287,20157,time
17,LUCIEN RICH,107,TDF 1923 ***,228h 50' 36'',+ 06h 35' 06'',,,1923,823836,23706,time
18,ROGER DUBOC,126,TDF 1923 ***,229h 12' 11'',+ 06h 56' 41'',,,1923,825131,25001,time
19,CAMILLE BOTTE,220,TDF 1923 ***,229h 29' 26'',+ 07h 13' 56'',,,1923,826166,26036,time
20,GEORGES CUVELIER,104,TDF 1923 ***,223h 13' 17'',+ 00h 57' 47'',,,1923,803597,3467,time
21,BENJAMIN MORTIER,108,TDF 1923 ***,230h 19' 13'',+ 08h 03' 43'',,,1923,829153,29023,time
22,ALFONS STANDAERT,114,TDF 1923 ***,230h 33' 08'',+ 08h 17' 38'',,,1923,829988,29858,time
23,FRANCIS PELISSIER,24,TDF 1923 ***,231h 58' 42'',+ 09h 43' 12'',,,1923,835122,34992,time
